"sku","name","orderedquantity","stocklevel","restockingleadtime","sentimentscore","sentimentmagnitude"
"GGADFBSBKS42347","PC gaming speakers",0,100,1,NULL,NULL
"GGOEGAAX0581"," Women's Colorblock Tee White",0,0,8,0.80,2.00
"GGOEGAAX0596"," Men's Quilted Insulated Vest Black",26,32,8,0.80,2.00
"GGOEGAAX0365"," Women's Scoop Neck Tee Black",65,73,6,0.00,0.50
"GGOEGEVB070899"," Bongo Cupholder Bluetooth Speaker",85,115,8,0.00,0.50
"GGOEGESC014699","Aluminum Handy Emergency Flashlight",66,90,9,0.00,0.50
"GGOEGAAX0325"," Men's Short Sleeve Hero Tee Charcoal",53,104,12,0.00,0.50
"GGOEGAAX0296"," Women's Short Sleeve Tri-blend Badge Tee Grey",19,33,15,0.00,0.50
"GGOEGHGH019699"," Sunglasses",1573,2086,6,0.50,0.50
"GGOEGDWR015799","Red Shine 15 oz Mug",1058,1417,20,0.30,0.50
"GGOEGAAX0081","Recycled Paper Journal Set",545,740,5,0.30,0.50
"GGOEGALB036514"," Women's Scoop Neck Tee Black",116,154,5,0.30,0.50
"GGOEGAWH061350"," Onesie Green",7,9,5,0.30,0.50
"GGOENEBQ084699"," Learning Thermostat 3rd Gen-USA - White",849,1142,5,0.30,0.50
"GGOEAHPB076114","Android Stretch Fit Hat",6,8,5,0.30,0.50
"GGOEGADJ059715"," Men's Quilted Insulated Vest Battleship Grey",30,39,5,0.30,0.50
"GGOEWAEA083899"," Dress Socks",15,20,6,0.30,0.50
"9180850","Ballpoint Stylus Pen",0,0,6,0.30,0.50
"9183118"," Women's Fleece Hoodie Black",0,0,6,0.30,0.50
"GGOEYDHJ056099","22 oz  Bottle Infuser",1465,1944,7,0.30,0.50
"GGOEGAEC029117"," Women's Short Sleeve Hero Tee Sky Blue",2,2,7,0.30,0.50
"GGOEGAAX0620"," Infant Short Sleeve Tee Green",38,52,7,0.30,0.50
"GGOENEBJ079499"," Learning Thermostat 3rd Gen-USA - Stainless Steel",1886,2525,7,0.30,0.50
"GGOEADHH073999","Android 17oz Stainless Steel Sport Bottle",210,283,8,0.30,0.50
"GGOEGAAJ032313"," Men's Short Sleeve Hero Tee Charcoal",46,61,8,0.30,0.50
"GGOEGATB060613"," Women's Convertible Vest-Jacket Black",33,44,8,0.30,0.50
"9183203"," Device Holder Sticky Pad",0,0,8,0.30,0.50
"GGOEGAEA030413"," Womens 3/4 Sleeve Baseball Raglan Heather/Black",23,31,9,0.30,0.50
"GGOEGAWQ062948"," Baby Essentials Set",261,77,10,0.30,0.50
"9184697"," Mood Original Window Decal",0,0,11,0.30,0.50
"GGOEGAYR068256"," Youth Short Sleeve Tee Red",8,10,11,0.30,0.50
"9183225"," Luggage Tag",0,0,11,0.30,0.50
"9182723"," Men's 100% Cotton Short Sleeve Hero Tee White",0,0,11,0.30,0.50
"GGOEGAAB058915"," Men's Short Sleeve Performance Badge Tee Black",6,7,11,0.30,0.50
"GGOEYAAJ033013"," Men's Long & Lean Tee Charcoal",10,13,12,0.30,0.50
"GGOEAAXN066355","Android Toddler Short Sleeve T-shirt Pink",21,28,12,0.30,0.50
"GGOEGAEJ029913"," Women's V-Neck Tee Charcoal",6,8,12,0.30,0.50
"GGOEGAAB033815"," Men's Vintage Badge Tee Black",439,578,13,0.30,0.50
"GGOEGATC060313"," Women's 1/4 Zip Performance Pullover Two-Tone Blue",21,28,13,0.30,0.50
"GGOEGAFJ036215"," Men's Pullover Hoodie Grey",21,27,13,0.30,0.50
"GGOEGOBG023599","Colored Pencil Set",269,367,13,0.30,0.50
"9182720"," Men's Short Sleeve Badge Tee Charcoal",0,0,13,0.30,0.50
"GGOEGAXR066030"," Toddler Sports T-shirt Red",7,9,13,0.30,0.50
"GGOEGAWN062748"," Infant Zip Hood Pink",41,54,13,0.30,0.50
"GGOEGALB034113"," Women's Vintage Hero Tee Black",116,153,14,0.30,0.50
"GGOEGATH060715"," Women's Convertible Vest-Jacket Sea Foam Green",4,5,14,0.30,0.50
"9182772"," Women's Performance Full Zip Jacket Black",0,0,14,0.30,0.50
"GGOEGADJ059718"," Men's Quilted Insulated Vest Battleship Grey",4,5,14,0.30,0.50
"9182755"," Men's Colorblock Tee White/Heather",0,0,14,0.30,0.50
"GGOEAHPB076113","Android Stretch Fit Hat",8,10,14,0.30,0.50
"GGOEGAAJ073416"," Men's Short Sleeve Hero Tee Heather",18,23,14,0.30,0.50
"GGOEGAYL068124"," Youth Sports Tee Navy",22,29,14,0.30,0.50
"GGOEYAXR066155"," Toddler Short Sleeve Tee Red",6,7,14,0.30,0.50
"GGOEAAAP081213","Android Men's Take Charge Short Sleeve Tee Purple",16,21,14,0.30,0.50
"GGOEGAAJ032715"," Men's Long & Lean Tee Grey",73,100,15,0.30,0.50
"GGOEGAEJ029914"," Women's V-Neck Tee Charcoal",5,6,15,0.30,0.50
"GGOEGAEA030614"," Women's Recycled Fabric Tee",1,1,15,0.30,0.50
"9184720"," Women's Short Sleeve Hero Tee Sky Blue",0,0,16,0.30,0.50
"GGOEGAWR061149"," Onesie Red",24,31,16,0.30,0.50
"9182761"," Women's Yoga Jacket Black",0,0,16,0.30,0.50
"GGOEGADC059315"," Men's Airflow 1/4 Zip Pullover Lapis",24,31,17,0.30,0.50
"GGOEGAAX0683"," Youth Short Sleeve T-shirt Royal Blue",4,5,17,0.30,0.50
"GGOEGALJ057914"," Women's Short Sleeve Performance Tee Charcoal",11,14,17,0.30,0.50
"9184689"," Men's Short Sleeve Tee",0,0,17,0.30,0.50
"GGOEYAXR066130"," Toddler Short Sleeve Tee Red",3,4,17,0.30,0.50
"GGOEGAAJ032315"," Men's Short Sleeve Hero Tee Charcoal",133,182,19,0.30,0.50
"GGOEAAWT061750","Android Onesie Gold",2,2,19,0.30,0.50
"GGOEGPJC203399","Crunch Noise Dog Toy",262,352,9,0.70,0.50
"GGOEGAAX0339"," Men's Vintage Badge Tee White",137,210,9,0.10,0.50
"GGOEGDHQ014899","20 oz Stainless Steel Insulated Tumbler",499,652,2,0.20,0.50
"9184682"," Mobile Phone Vent Mount",0,0,7,0.20,0.50
"9183234"," Learning Thermostat 3rd Gen-USA - Stainless Steel",0,0,8,0.20,0.50
"GGOEAAAH083317","Android Men's Paradise Short Sleeve Tee Olive",9,11,8,0.20,0.50
"GGOEYAEJ029614"," Women's Short Sleeve Tri-blend Badge Tee Grey",1,1,11,0.20,0.50
"9182859"," Toddler Raglan Shirt Blue Heather/Navy",0,0,11,0.20,0.50
"GGOEGADB059616"," Men's Quilted Insulated Vest Black",13,17,14,0.20,0.50
"GGOEGAAQ010417"," Men's 100% Cotton Short Sleeve Hero Tee White",32,41,15,0.20,0.50
"GGOEGETB023799"," Power Bank",156,210,7,-0.20,0.50
"GGOEGEHQ072599"," 4400mAh Power Bank",50,65,7,0.40,0.50
"GGOEGBRP037599","Yoga Mat Purple",10,13,17,0.40,0.50
"GGOEGBRC021399","Yoga Mat Blue",45,60,15,0.80,0.50
"GGOEGEVB070599"," G Noise-reducing Bluetooth Headphones",101,132,7,0.90,0.50
"GGOEGHGT019599"," Sunglasses",887,376,8,0.50,1.00
"GGOBJGOWUSG69402","USB wired soundbar - in store only",10,15,2,1.00,1.00
"GGOEGODR017799","Recycled Mouse Pad",1033,1756,39,0.30,1.00
"GGOEGAAX0319","Android Men's Short Sleeve Hero Tee Heather",18,19,17,0.30,1.00
"9182863"," Toddler Sports T-shirt Red",0,0,5,0.60,1.00
"GGOEYAAJ033017"," Men's Long & Lean Tee Charcoal",12,20,5,0.60,1.00
"9180811","Plastic Sliding Flashlight",0,0,5,0.60,1.00
"GGOEGAAB058917"," Men's Short Sleeve Performance Badge Tee Black",5,8,5,0.60,1.00
"GGOEAAEJ028215","Android Women's Short Sleeve Badge Tee Dark Heather",3,5,6,0.60,1.00
"GGOEGBJC014399"," Tote Bag",92,155,6,0.60,1.00
"GGOEGAAJ032615"," Men's Short Sleeve Badge Tee Charcoal",63,105,6,0.60,1.00
"GGOEGAEJ028013"," Women's Short Sleeve Hero Tee Grey",70,117,6,0.60,1.00
"9182750"," Men's Performance 1/4 Zip Pullover Heather/Black",0,0,6,0.60,1.00
"GGOEGAXJ065555"," Toddler Short Sleeve T-shirt Grey",56,93,6,0.60,1.00
"GGOEGAAH034015"," Men's Vintage Badge Tee Sage",226,390,6,0.60,1.00
"GGOEGAAX0617","Android Onesie Gold",31,53,6,0.60,1.00
"GGOEGAAX0626","Android Infant Short Sleeve Tee Pink",13,21,7,0.60,1.00
"GGOEGAXR066029"," Toddler Sports T-shirt Red",8,13,7,0.60,1.00
"9183205"," Zipper-front Sports Bag",0,0,7,0.60,1.00
"GGOEAAEJ030914","Android Women's Long Sleeve Blended Cardigan Grey",17,29,7,0.60,1.00
"GGOEGAEJ035317"," Vintage Henley Grey/Black",1,1,7,0.60,1.00
"GGOEGAEQ027913"," Women's Short Sleeve Hero Tee White",38,65,7,0.60,1.00
"GGOEGAPB058613"," Women's Yoga Jacket Black",20,34,8,0.60,1.00
"9182980"," Pet Feeding Mat",0,0,8,0.60,1.00
"GGOEGALB034115"," Women's Vintage Hero Tee Black",124,213,9,0.60,1.00
"GGOEGADB059615"," Men's Quilted Insulated Vest Black",31,51,9,0.60,1.00
"GGOEGALJ060113"," Women's Short Sleeve Performance Tee Pewter",1,1,10,0.60,1.00
"GGOENEBQ078999"," Cam Outdoor Security Camera - USA",2719,4683,10,0.60,1.00
"GGOEGAAJ059115"," Men's Short Sleeve Performance Badge Tee Pewter",77,131,10,0.60,1.00
"GGOEGGCX056199","Gift Card- $100.00",45,77,10,0.60,1.00
"9180813"," Tube Power Bank",0,0,11,0.60,1.00
"GGOEGAAJ080616"," Men's Bike Short Sleeve Tee Charcoal",41,70,11,0.60,1.00
"GGOEAHPJ004213","Android Stretch Fit Hat S/M",31,53,12,0.60,1.00
"9182778"," Women's Softshell Jacket Black/Grey",0,0,13,0.60,1.00
"GGOEYAAQ031717"," Men's Short Sleeve Hero Tee  White",2,3,13,0.60,1.00
"9184683"," Women's Short Sleeve Tee",0,0,13,0.60,1.00
"GGOEGAYL068126"," Youth Sports Tee Navy",25,42,14,0.60,1.00
"GGOEGADB057318"," Men's Lightweight Microfleece Jacket Black",5,8,14,0.60,1.00
"GGOEGATB060213"," Women's 1/4 Zip Performance Pullover Black",21,35,14,0.60,1.00
"GGOEAAXC066428","Android Toddler Short Sleeve T-shirt Aqua",15,25,15,0.60,1.00
"GGOEGAXC065628"," Toddler Hoodie Royal Blue",27,45,15,0.60,1.00
"9182774"," Women's Yoga Pants",0,0,15,0.60,1.00
"GGOEGAYQ068956"," Youth Girl Hoodie",3,5,15,0.60,1.00
"GGOEGALJ072914"," Women's Performance Hero Tee Gunmetal",15,25,15,0.60,1.00
"GGOEGAAX0042","Android Stretch Fit Hat",24,41,16,0.60,1.00
"9183220"," Leather Journal-Brown",0,0,16,0.60,1.00
"9182780"," Women's Shell Jacket Blue/Black",0,0,16,0.60,1.00
"GGOEGAAJ032713"," Men's Long & Lean Tee Grey",13,21,16,0.60,1.00
"GGOEAAWN062648","Android Infant Short Sleeve Tee Pink",19,32,17,0.60,1.00
"GGOEAAAB034813","Android BTTF Cosmos Graphic Tee",3,5,17,0.60,1.00
"GGOEGADB056915"," Men's Performance Full Zip Jacket Black",41,70,18,0.60,1.00
"GGOEAAAB034915","Android BTTF Moonshot Graphic Tee",10,16,18,0.60,1.00
"GGOEGAAX0613"," Onesie Green",29,49,19,0.60,1.00
"GGOEGAAQ057213"," Men's Colorblock Tee White/Heather",6,10,19,0.60,1.00
"GGOEGAAX0795","25L Classic Rucksack",66,114,6,0.70,1.00
"9182179","Android Women's Short Sleeve Badge Tee Dark Heather",0,0,7,0.70,1.00
"GGOEGAAX0734"," Men's Short Sleeve Hero Tee Heather",1,1,7,0.70,1.00
"GGOENEBD084799"," Learning Thermostat 3rd Gen-USA - Copper",324,564,9,0.70,1.00
"GGOEGAFB035814"," Men's  Zip Hoodie",90,156,14,0.70,1.00
"GGOEAAAL081114","Android Men's Pep Rally Short Sleeve Tee Navy",15,26,18,0.70,1.00
"9182997"," 17oz Stainless Steel Sport Bottle",0,0,18,0.70,1.00
"GGOEGAAX0320","Android Men's Short Sleeve Hero Tee White",22,38,11,-0.10,1.00
"GGOEGAAX0324","Android Men's Short Sleeve Tri-blend Hero Tee Grey",3,3,16,0.20,1.00
"GGOEGBFC018799","Electronics Accessory Pouch",330,568,29,0.40,1.00
"GGOEGAAX0362"," Men's Pullover Hoodie Grey",25,33,5,0.50,1.50
"GGOEGAAX0338"," Men's Vintage Badge Tee Black",433,677,8,0.50,1.50
"GGOEGAAX0326"," Men's Short Sleeve Badge Tee Charcoal",8,12,11,0.50,1.50
"GGOEGAAX0289"," Women's Short Sleeve Hero Dark Grey",26,50,5,0.60,1.50
"GGOEGAAX0746"," Women's Short Sleeve Badge Tee Navy",7,8,17,0.60,1.50
"GGOEGAAX0592"," Men's Airflow 1/4 Zip Pullover Black",8,8,9,-0.20,1.50
"GGOEAOCB077499","Android RFID Journal",73,86,9,0.30,0.30
"GGOEGAAX0586"," Women's Yoga Jacket Black",23,33,6,-0.30,0.30
"GGOEGAAX0329","Android Men's Long & Lean Badge Tee Charcoal",39,65,18,-0.30,0.30
"GGOEGOAB022499","Satin Black Ballpoint Pen",403,477,2,0.10,0.30
"GGOEGHPB003410"," Snapback Hat Black",230,105,3,0.10,0.30
"GGOEGOAA017199","Rubber Grip Ballpoint Pen 4 Pack",1515,1791,3,0.10,0.30
"GGOEAAAL081113","Android Men's Pep Rally Short Sleeve Tee Navy",6,7,5,0.10,0.30
"GGOEGALB036516"," Women's Scoop Neck Tee Black",20,23,5,0.10,0.30
"GGOEGAWR061053"," Onesie Red/Graphite",12,14,6,0.10,0.30
"9180770","Yoga Mat Blue",0,0,6,0.10,0.30
"GGOEGAPB057812","Women's Performance Full Zip Jacket Black",8,9,6,0.10,0.30
"GGOEWAAJ082815"," Men's Short Sleeve Tee",5,5,7,0.10,0.30
"GGOEGAEJ029916"," Women's V-Neck Tee Charcoal",4,4,7,0.10,0.30
"GGOEGAXJ065729"," Toddler 1/4 Zip Fleece Pewter",29,33,7,0.10,0.30
"GGOEGAXR065129"," Toddler Short Sleeve Tee Red",11,12,7,0.10,0.30
"GGOEGAEJ028115"," Women's Short Sleeve Badge Tee Grey",11,13,8,0.10,0.30
"9184681"," 17 oz Double Wall Stainless Steel Insulated Bottle",0,0,8,0.10,0.30
"GGOEGAFJ036213"," Men's Pullover Hoodie Grey",12,14,8,0.10,0.30
"GGOEGALJ060116"," Women's Short Sleeve Performance Tee Pewter",5,6,8,0.10,0.30
"GGOEGADB056613","Men's Weatherblock Shell Jacket Black",4,4,9,0.10,0.30
"GGOEGAPB058215"," Women's Lightweight Microfleece Jacket",5,5,9,0.10,0.30
"GGOEAAAB034815","Android BTTF Cosmos Graphic Tee",5,6,10,0.10,0.30
"GGOEGOCC077999"," Spiral Journal with Pen",3896,4668,10,0.10,0.30
"GGOEAAYC068726","Android Youth Short Sleeve T-shirt Aqua",4,4,10,0.10,0.30
"GGOEGAEJ031316"," Tri-blend Hoodie Grey",10,11,10,0.10,0.30
"GGOEAAAB081015","Android Men's Outerstellar Short Sleeve Tee Black",11,13,10,0.10,0.30
"GGOEGATH060713"," Women's Convertible Vest-Jacket Sea Foam Green",27,32,11,0.10,0.30
"GGOEGAAX0684"," Youth Short Sleeve T-shirt Green",11,12,11,0.10,0.30
"9183086"," Youth Girl Tee Green",0,0,11,0.10,0.30
"GGOENEBQ079099"," Protect Smoke + CO White Battery Alarm-USA",999,325,11,0.10,0.30
"GGOEGALQ036615"," Women's Scoop Neck Tee White",43,50,11,0.10,0.30
"GGOEGAAJ059116"," Men's Short Sleeve Performance Badge Tee Pewter",13,15,11,0.10,0.30
"GGOEYAEJ029517"," Women's Short Sleeve Tri-blend Badge Tee Charcoal",3,3,11,0.10,0.30
"GGOEGALJ060115"," Women's Short Sleeve Performance Tee Pewter",7,8,12,0.10,0.30
"GGOEGAPB057514","Women's Weatherblock Shell Jacket Black",7,8,12,0.10,0.30
"9181573"," Snapback Hat Black",0,0,12,0.10,0.30
"GGOEAAYC068756","Android Youth Short Sleeve T-shirt Aqua",64,77,13,0.10,0.30
"GGOEYAEB028414","Women's  Short Sleeve Hero Tee Black",31,37,13,0.10,0.30
"GGOEAAAP081216","Android Men's Take Charge Short Sleeve Tee Purple",14,16,13,0.10,0.30
"9180757","Yoga Block",0,0,13,0.10,0.30
"GGOEGALP036315"," Women's Long Sleeve Tee Lavender",15,18,13,0.10,0.30
"GGOEAAAJ032913","Android Men's Long & Lean Badge Tee Charcoal",24,27,13,0.10,0.30
"9182812"," Infant Zip Hood Pink",0,0,14,0.10,0.30
"GGOEGAXL065930"," Toddler Raglan Shirt Blue Heather/Navy",18,20,14,0.10,0.30
"GGOEYFKQ020699"," Custom Decals",3786,4536,14,0.10,0.30
"GGOEAAWJ062548","Android Infant Short Sleeve Tee Pewter",2,2,14,0.10,0.30
"GGOEYAAB031814"," Men's Short Sleeve Hero Tee Black",35,40,14,0.10,0.30
"GGOEYAQB073217"," Women's Fleece Hoodie Black",1,1,14,0.10,0.30
"GGOEAAAP081217","Android Men's Take Charge Short Sleeve Tee Purple",6,7,15,0.10,0.30
"GGOEGAEJ028915"," Women's Short Sleeve Hero Dark Grey",2,2,15,0.10,0.30
"GGOEAAAB034916","Android BTTF Moonshot Graphic Tee",11,13,15,0.10,0.30
"GGOEGAEJ031317"," Tri-blend Hoodie Grey",3,3,15,0.10,0.30
"GGOEGAAL010614"," Men's 100% Cotton Short Sleeve Hero Tee Navy",62,74,15,0.10,0.30
"GGOEYAEJ029515"," Women's Short Sleeve Tri-blend Badge Tee Charcoal",94,111,16,0.10,0.30
"GGOEGAAH034013"," Men's Vintage Badge Tee Sage",3,3,16,0.10,0.30
"GGOEYAAJ032513"," Men's Short Sleeve Hero Tee Charcoal",20,23,18,0.10,0.30
"GGOEYAEJ029015"," Women's Short Sleeve Hero Tee Charcoal",4,4,19,0.10,0.30
"9181019"," Tri-blend Hoodie Grey",0,0,19,0.10,0.30
"GGOEYAAB031816"," Men's Short Sleeve Hero Tee Black",18,20,19,0.10,0.30
"GGOEGAAX0327"," Men's Long & Lean Tee Grey",3,5,6,-0.10,0.30
"GGOEGAAX0318"," Men's Short Sleeve Hero Tee Black",151,275,6,-0.10,0.30
"GGOEGAAX0361","Android Women's Fleece Hoodie",16,21,13,-0.10,0.30
"GGOEGAAX0352","Android Men's Vintage Henley",21,37,15,-0.10,0.30
"GGOEGOAQ020099","Four Color Retractable Pen",2002,2450,22,0.20,0.30
"GGOENEBB078899"," Cam Indoor Security Camera - USA",2139,2615,42,0.20,0.30
"GGOEGOAR013599","Ballpoint Stylus Pen",769,942,5,0.20,0.30
"GGOEGCBB074199"," Car Clip Phone Holder",171,205,5,0.20,0.30
"GGOEGALQ034213"," Women's Vintage Hero Tee White",78,94,6,0.20,0.30
"GGOEAAWT061749","Android Onesie Gold",7,8,6,0.20,0.30
"GGOEGADB057313"," Men's Lightweight Microfleece Jacket Black",9,11,7,0.20,0.30
"GGOEGADJ057117"," Men's Performance 1/4 Zip Pullover Heather/Black",2,2,10,0.20,0.30
"GGOEGAXL065928"," Toddler Raglan Shirt Blue Heather/Navy",10,12,10,0.20,0.30
"GGOEGAEC029114"," Women's Short Sleeve Hero Tee Sky Blue",7,8,11,0.20,0.30
"GGOEGAEB027815"," Women's Short Sleeve Hero Tee Black",163,200,11,0.20,0.30
"GGOEGAAX0314"," Men's 3/4 Sleeve Henley",0,0,11,0.20,0.30
"9180764"," Canvas Tote Natural/Navy",0,0,12,0.20,0.30
"GGOEAAXC066429","Android Toddler Short Sleeve T-shirt Aqua",81,99,12,0.20,0.30
"GGOEGAXC065255"," Toddler Short Sleeve T-shirt Royal Blue",2,2,12,0.20,0.30
"GGOEGAEJ031315"," Tri-blend Hoodie Grey",28,34,12,0.20,0.30
"GGOEGKAA019299","Switch Tone Color Crayon Pen",1163,388,12,0.20,0.30
"GGOEGAAJ032314"," Men's Short Sleeve Hero Tee Charcoal",49,59,12,0.20,0.30
"GGOEAAAB081013","Android Men's Outerstellar Short Sleeve Tee Black",10,12,12,0.20,0.30
"GGOEGADJ057114"," Men's Performance 1/4 Zip Pullover Heather/Black",16,19,12,0.20,0.30
"GGOEGAAQ057216"," Men's Colorblock Tee White/Heather",2,2,13,0.20,0.30
"GGOEGAXC065230"," Toddler Short Sleeve T-shirt Royal Blue",10,12,14,0.20,0.30
"GGOEGAPB058214"," Women's Lightweight Microfleece Jacket",11,13,14,0.20,0.30
"9182739"," Men's Watershed Full Zip Hoodie Grey",0,0,14,0.20,0.30
"GGOEGAPB058212"," Women's Lightweight Microfleece Jacket",3,3,15,0.20,0.30
"9182793"," Men's Long & Lean Tee Charcoal",0,0,16,0.20,0.30
"GGOEGAXR066028"," Toddler Sports T-shirt Red",5,6,16,0.20,0.30
"GGOEGAAJ080613"," Men's Bike Short Sleeve Tee Charcoal",24,29,16,0.20,0.30
"9183214"," Hard Cover Journal",0,0,17,0.20,0.30
"GGOEGATB060614"," Women's Convertible Vest-Jacket Black",31,37,17,0.20,0.30
"GGOEGADJ056818"," Men's Watershed Full Zip Hoodie Grey",6,7,17,0.20,0.30
"GGOEAAEJ028214","Android Women's Short Sleeve Badge Tee Dark Heather",6,7,18,0.20,0.30
"GGOEGAQB036017"," Women's Fleece Hoodie",1,1,19,0.20,0.30
"GGOEGAAX0569"," Men's Performance Full Zip Jacket Black",33,54,12,-0.40,0.30
"GGOEGCMB020932","Suitcase Organizer Cubes",295,342,7,0.80,0.30
"GGOEGPJC019099","7 Dog Frisbee",133,154,11,0.80,0.30
"GGOEAXXX0810","Android Men's Outerstellar Short Sleeve Tee Black",2,3,6,0.00,0.60
"GGOEGAAX0595"," Men's Microfiber 1/4 Zip Pullover Blue/Indigo",5,9,7,-0.50,0.60
"GGOEYHPB072210"," Twill Cap",1429,1997,2,0.30,0.60
"GGOEWAAJ083513"," Men's Typography Short Sleeve Tee",1,1,6,0.30,0.60
"GGOEGHPJ080310"," Blackout Cap",299,415,6,0.30,0.60
"GGOEGAAX0664","Android Toddler Short Sleeve T-shirt Aqua",12,16,6,0.30,0.60
"GGOEGAEQ027916"," Women's Short Sleeve Hero Tee White",14,19,6,0.30,0.60
"GGOEGAYQ069024"," Youth Short Sleeve Tee White",4,5,6,0.30,0.60
"GGOEYAEA035116"," Men's Vintage Henley",19,26,7,0.30,0.60
"GGOEGAAJ073415"," Men's Short Sleeve Hero Tee Heather",10,13,7,0.30,0.60
"GGOEGAXC065229"," Toddler Short Sleeve T-shirt Royal Blue",16,22,7,0.30,0.60
"GGOEGAAJ032317"," Men's Short Sleeve Hero Tee Charcoal",18,25,8,0.30,0.60
"GGOEGADB059614"," Men's Quilted Insulated Vest Black",20,27,8,0.30,0.60
"GGOEAAWN062649","Android Infant Short Sleeve Tee Pink",13,18,8,0.30,0.60
"GGOEGAWR061154"," Onesie Red",27,37,8,0.30,0.60
"GGOEGAAB010517"," Men's 100% Cotton Short Sleeve Hero Tee Black",36,50,8,0.30,0.60
"GGOEGALP036317"," Women's Long Sleeve Tee Lavender",7,9,8,0.30,0.60
"GGOEGAER029714"," Women's Short Sleeve Hero Tee Red Heather",29,40,9,0.30,0.60
