"sku","name","orderedquantity","stocklevel","restockingleadtime","sentimentscore","sentimentmagnitude"
"GGOEGAAJ057018"," Men's Short Sleeve Performance Badge Tee Charcoal",4,5,9,0.30,0.60
"9180844","Gunmetal Roller Ball Pen",0,0,9,0.30,0.60
"GGOEGADJ056814"," Men's Watershed Full Zip Hoodie Grey",41,57,9,0.30,0.60
"GGOEGAUC057714"," Women's Performance Golf Polo Blue",5,6,10,0.30,0.60
"9182764"," Women's Convertible Vest-Jacket Black",0,0,11,0.30,0.60
"GGOEYAEA035114"," Men's Vintage Henley",46,65,11,0.30,0.60
"GGOEGAAQ033918"," Men's Vintage Badge Tee White",12,16,11,0.30,0.60
"GGOEAAYJ068824","Android Youth Short Sleeve T-shirt Pewter",27,38,12,0.30,0.60
"GGOEGALB036513"," Women's Scoop Neck Tee Black",66,91,12,0.30,0.60
"GGOEGAAC032117"," Men's Short Sleeve Hero Tee Light Blue",2,2,12,0.30,0.60
"GGOEGAEA030414"," Womens 3/4 Sleeve Baseball Raglan Heather/Black",23,32,13,0.30,0.60
"9182828"," Toddler Short Sleeve T-shirt Royal Blue",0,0,13,0.30,0.60
"GGOEGAAJ057017"," Men's Short Sleeve Performance Badge Tee Charcoal",7,9,13,0.30,0.60
"GGOEGAYB068056"," Youth Baseball Raglan Heather/Black",2,2,13,0.30,0.60
"GGOEGDHJ082599"," 17 oz Double Wall Stainless Steel Insulated Bottle",456,633,14,0.30,0.60
"9182751"," Men's Performance Full Zip Jacket Black",0,0,14,0.30,0.60
"GGOEGAAX0662","Android Toddler Short Sleeve T-shirt Pewter",5,6,14,0.30,0.60
"GGOEAAAL081116","Android Men's Pep Rally Short Sleeve Tee Navy",14,19,14,0.30,0.60
"9184695"," Baby on Board Window Decal",0,0,15,0.30,0.60
"GGOEGAEJ028113"," Women's Short Sleeve Badge Tee Grey",19,26,15,0.30,0.60
"GGOEYHPA003610"," Wool Heather Cap Heather/Black",0,0,15,0.30,0.60
"GGOEGALQ034214"," Women's Vintage Hero Tee White",90,125,16,0.30,0.60
"GGOEGALJ036413"," Women's Tee Grey",9,12,16,0.30,0.60
"GGOEYAEA035115"," Men's Vintage Henley",38,53,17,0.30,0.60
"9182581"," Women's Fleece Hoodie",0,0,17,0.30,0.60
"GGOEAAWT061754","Android Onesie Gold",2,2,18,0.30,0.60
"GGOEGAEC033113"," Men's Long Sleeve Raglan Ocean Blue",26,36,18,0.30,0.60
"GGOEAAAJ031913","Android Men's Short Sleeve Hero Tee Heather",49,68,19,0.30,0.60
"GGOEGAPJ058012"," Women's 1/4 Zip Jacket Charcoal",9,12,19,0.30,0.60
"GGOEGAEB027814"," Women's Short Sleeve Hero Tee Black",124,173,19,0.30,0.60
"GGOEGFSR022099"," Kick Ball",15170,723,5,0.60,0.60
"GGOEGAAX0279"," Women's Short Sleeve Hero Tee White",21,41,5,0.10,0.60
"GGOEGBPB082099","UpCycled Handlebar Bag",76,107,12,0.10,0.60
"GGOEGAAX0295"," Women's Short Sleeve Tri-blend Badge Tee Charcoal",24,43,18,0.10,0.60
"GGOEGAAX0573"," Men's Lightweight Microfleece Jacket Black",18,20,19,0.10,0.60
"GGOEGAAL010617"," Men's 100% Cotton Short Sleeve Hero Tee Navy",5,7,5,0.40,0.60
"GGOEGAAB058918"," Men's Short Sleeve Performance Badge Tee Black",2,2,6,0.40,0.60
"9182771"," Women's 1/4 Zip Jacket Charcoal",0,0,6,0.40,0.60
"GGOEGAAX0685"," Youth Short Sleeve T-shirt Yellow",27,38,7,0.40,0.60
"9182743"," Men's Microfiber 1/4 Zip Pullover Blue/Indigo",0,0,7,0.40,0.60
"GGOEGALQ036617"," Women's Scoop Neck Tee White",7,10,7,0.40,0.60
"9180838","Metal Texture Roller Pen",0,0,8,0.40,0.60
"GGOEGAEJ028914"," Women's Short Sleeve Hero Dark Grey",5,7,9,0.40,0.60
"9182569"," Men's  Zip Hoodie",0,0,10,0.40,0.60
"GGOEGALP036316"," Women's Long Sleeve Tee Lavender",1,1,10,0.40,0.60
"GGOEGAXR065155"," Toddler Short Sleeve Tee Red",2,2,10,0.40,0.60
"GGOEGARJ058413"," Women's Yoga Pants",3,4,10,0.40,0.60
"GGOEYAAJ033014"," Men's Long & Lean Tee Charcoal",29,42,11,0.40,0.60
"GGOEWALJ082713"," Women's Short Sleeve Tee",3,4,12,0.40,0.60
"GGOEGAPB058614"," Women's Yoga Jacket Black",6,8,12,0.40,0.60
"GGOEGAAX0661"," Toddler Short Sleeve Tee Red",12,17,13,0.40,0.60
"GGOEGAEJ028917"," Women's Short Sleeve Hero Dark Grey",4,5,13,0.40,0.60
"GGOEGAWQ062249"," Infant Short Sleeve Tee White",22,31,14,0.40,0.60
"GGOEYAEB035615"," Men's Vintage Tank",52,74,15,0.40,0.60
"GGOEGAEJ028916"," Women's Short Sleeve Hero Dark Grey",2,2,17,0.40,0.60
"9182737"," Women's 3/4 Sleeve Baseball Raglan Heather/Black",0,0,17,0.40,0.60
"GGOEGAAX0657"," Toddler 1/4 Zip Fleece Pewter",31,44,17,0.40,0.60
"GGOEYHPA003510"," Trucker Hat",0,0,17,0.40,0.60
"GGOEGAFJ036216"," Men's Pullover Hoodie Grey",12,17,18,0.40,0.60
"GGOEYAAJ032517"," Men's Short Sleeve Hero Tee Charcoal",1,1,19,0.40,0.60
"9184721","BLM Sweatshirt",0,0,19,0.40,0.60
"GGOEGAAH034014"," Men's Vintage Badge Tee Sage",193,277,19,0.40,0.60
"GGOEGAWR061153"," Onesie Red",14,20,19,0.40,0.60
"GGOEGAAB010515"," Men's 100% Cotton Short Sleeve Hero Tee Black",134,193,19,0.40,0.60
"GGOEGAAX0213","Yoga Mat",29,54,5,0.00,1.20
"GGOEGOAQ018099","Pen Pencil & Highlighter Set",1067,1939,5,0.70,1.20
"GGOEGAAX0686"," Youth Short Sleeve Tee Red",22,40,6,0.70,1.20
"GGOEGADB057316"," Men's Lightweight Microfleece Jacket Black",5,9,6,0.70,1.20
"GGOEAAEJ035716","Android Men's Vintage Tank",5,9,6,0.70,1.20
"GGOEYAAB031813"," Men's Short Sleeve Hero Tee Black",15,27,6,0.70,1.20
"GGOEGADB056916"," Men's Performance Full Zip Jacket Black",15,27,6,0.70,1.20
"GGOEAAAJ031914","Android Men's Short Sleeve Hero Tee Heather",69,126,8,0.70,1.20
"GGOEGFKA022299","Keyboard DOT Sticker",480,189,9,0.70,1.20
"GGOEAAWT061748","Android Onesie Gold",19,34,9,0.70,1.20
"GGOEGFYQ016599","Foam Can and Bottle Cooler",2442,4495,10,0.70,1.20
"GGOEGAAJ080617"," Men's Bike Short Sleeve Tee Charcoal",19,34,11,0.70,1.20
"GGOEGADJ059815"," Men's Convertible Vest-Jacket Pewter",1,1,11,0.70,1.20
"GGOEGAEJ035316"," Vintage Henley Grey/Black",13,23,11,0.70,1.20
"GGOEAFKQ020499","8 pc Android Sticker Sheet",336,613,12,0.70,1.20
"GGOEGAAC035014"," Men's Bayside Graphic Tee",5,9,14,0.70,1.20
"GGOEGAAX0689"," Youth Girl Hoodie",4,7,15,0.70,1.20
"9182898","Android Youth Short Sleeve T-shirt Aqua",0,0,16,0.70,1.20
"GGOEGAER029713"," Women's Short Sleeve Hero Tee Red Heather",14,25,17,0.70,1.20
"9183112"," Men's Fleece Hoodie Black",0,0,18,0.70,1.20
"GGOEGAAQ033913"," Men's Vintage Badge Tee White",41,74,18,0.70,1.20
"9184734"," Learning Thermostat 3rd Gen-USA - Copper",0,0,19,0.70,1.20
"GGOEGALP034317"," Women's Vintage Hero Tee Lavender",5,9,19,0.70,1.20
"GGOEGALJ034415"," Women's Vintage Hero Tee Platinum",36,65,19,0.70,1.20
"GGOEGBMC056599","Waterproof Gear Bag",140,261,15,-0.10,1.20
"GGOEAHPA004110","Android Wool Heather Cap Heather/Black",168,305,9,0.20,1.20
"GGOEGBPB081999","UpCycled Bike Saddle Bag",42,79,12,0.20,1.20
"GGOEGPXC023299"," Collapsible Pet Bowl",27,50,6,0.40,1.20
"GGOEGAAX0306"," Women's Recycled Fabric Tee",11,16,10,0.40,1.20
"GGOEGAAX0353"," Vintage Henley Grey/Black",57,95,10,0.40,1.20
"GGOEGAAX0321"," Men's Short Sleeve Hero Tee Light Blue",2,3,10,0.40,1.20
"GGOEWXXX0828"," Men's Short Sleeve Tee",1,1,14,0.40,1.20
"GGOEGAAX0309","Android Women's Long Sleeve Blended Cardigan Grey",18,28,18,0.40,1.20
"GGOEGAAX0282","Android Women's Short Sleeve Badge Tee Dark Heather",17,19,15,-0.40,1.20
"GGOEGAAX0168"," Pet Feeding Mat",45,83,18,-0.40,1.20
"GGOEGAEJ028913"," Women's Short Sleeve Hero Dark Grey",3,5,5,0.80,1.20
"GGOEGHPJ080110"," 5-Panel Cap",47,87,5,0.80,1.20
"9181572","Android Wool Heather Cap Heather/Black",0,0,5,0.80,1.20
"GGOEGAAB033813"," Men's Vintage Badge Tee Black",72,135,5,0.80,1.20
"GGOEAAAJ080814","Android Men's Engineer Short Sleeve Tee Charcoal",12,22,6,0.80,1.20
"9182705","Android Men's Long & Lean Badge Tee Charcoal",0,0,7,0.80,1.20
"GGOEGAFJ036214"," Men's Pullover Hoodie Grey",13,24,8,0.80,1.20
"9182785"," Women's Lightweight Microfleece Jacket",0,0,8,0.80,1.20
"9180767"," Slim Utility Travel Bag",0,0,8,0.80,1.20
"GGOEGALL074615"," Women's Short Sleeve Badge Tee Navy",14,25,9,0.80,1.20
"GGOENEBQ081699"," Protect Smoke + CO White Battery Alarm - CA",14,25,9,0.80,1.20
"GGOEGALP034315"," Women's Vintage Hero Tee Lavender",14,26,10,0.80,1.20
"9182502"," Women's Yoga Jacket Black",0,0,10,0.80,1.20
"GGOEGALJ057913"," Women's Short Sleeve Performance Tee Charcoal",6,11,10,0.80,1.20
"GGOEGAEJ030813"," Women's Long Sleeve Blended Cardigan Charcoal",23,42,10,0.80,1.20
"GGOEGAAQ033916"," Men's Vintage Badge Tee White",85,156,11,0.80,1.20
"GGOEAAFB035917","Android Men's  Zip Hoodie",4,7,11,0.80,1.20
"GGOEGOLC013299","Spiral Notebook and Pen Set",3582,6708,11,0.80,1.20
"GGOEGAYH067925"," Youth Girl Tee Green",3,5,11,0.80,1.20
"9183186"," G Noise-reducing Bluetooth Headphones",0,0,11,0.80,1.20
"GGOEGALP034313"," Women's Vintage Hero Tee Lavender",17,31,11,0.80,1.20
"GGOEGALJ073314"," Women's Short Sleeve Hero Tee Heather",5,9,12,0.80,1.20
"GGOEGBPB021199"," Slim Utility Travel Bag",276,516,12,0.80,1.20
"9180905"," Men's Long Sleeve Raglan Ocean Blue",0,0,13,0.80,1.20
"GGOEGAAH034017"," Men's Vintage Badge Tee Sage",40,74,14,0.80,1.20
"GGOEGAER035513"," Men's Vintage Tank",4,7,14,0.80,1.20
"9183152"," Youth Short Sleeve Tee Red",0,0,14,0.80,1.20
"9182777"," Women's Performance Golf Polo Blue",0,0,14,0.80,1.20
"GGOEAAAB081014","Android Men's Outerstellar Short Sleeve Tee Black",13,24,15,0.80,1.20
"GGOEGAAJ032816"," Men's Long & Lean Tee Charcoal",165,309,16,0.80,1.20
"GGOEGAPB058617"," Women's Yoga Jacket Black",3,5,16,0.80,1.20
"GGOEGADJ056815"," Men's Watershed Full Zip Hoodie Grey",57,105,17,0.80,1.20
"GGOEYAAJ033016"," Men's Long & Lean Tee Charcoal",12,22,17,0.80,1.20
"9182658"," Women's Short Sleeve Hero Tee Sky Blue",0,0,17,0.80,1.20
"GGOEGADC059313"," Men's Airflow 1/4 Zip Pullover Lapis",1,1,17,0.80,1.20
"9182742"," Men's Convertible Vest-Jacket Pewter",0,0,17,0.80,1.20
"GGOEAAEJ033417","Android Men's Long Sleeve Badge Crew Tee Heather",5,9,19,0.80,1.20
"GGOEGAYT068524"," Youth Short Sleeve T-shirt Yellow",25,46,19,0.80,1.20
"GGOEGAAX0591"," Men's Short Sleeve Performance Badge Tee Pewter",27,29,15,0.60,1.70
"GGOEGHPB080410"," 5-Panel Snapback Cap",151,219,8,0.30,0.70
"GGOEGAAX0733"," Women's Short Sleeve Hero Tee Heather",1,1,7,0.10,0.70
"GGOEGAAX0317"," Men's Short Sleeve Hero Tee White",50,86,10,0.10,0.70
"GGOEGAAX0284","Women's  Short Sleeve Hero Tee Black",22,23,11,0.10,0.70
"GGOEGAAX0341"," Women's Vintage Hero Tee Black",188,332,19,0.10,0.70
"GGOEGAAX0280"," Women's Short Sleeve Hero Tee Grey",30,52,19,0.10,0.70
"GGOEGETR014599"," Tube Power Bank",218,72,8,-0.20,0.70
"GGOEGFKQ020399"," Laptop and Cell Phone Stickers",1033,1516,3,0.40,0.70
"GGOEAAAH083316","Android Men's Paradise Short Sleeve Tee Olive",8,11,5,0.40,0.70
"GGOEAAAJ032917","Android Men's Long & Lean Badge Tee Charcoal",20,30,5,0.40,0.70
"9181151","Gift Card - $50.00",0,0,5,0.40,0.70
"GGOEGAYR068224"," Youth Short Sleeve Tee Red",9,13,5,0.40,0.70
"GGOEGAWC061949"," Infant Short Sleeve Tee Royal Blue",2,2,5,0.40,0.70
"GGOEGALQ034217"," Women's Vintage Hero Tee White",13,19,6,0.40,0.70
"GGOEGAYQ069056"," Youth Short Sleeve Tee White",10,14,6,0.40,0.70
"9180782","Seat Pack Organizer",0,0,7,0.40,0.70
"GGOEGAAJ032613"," Men's Short Sleeve Badge Tee Charcoal",32,46,7,0.40,0.70
"GGOEGADB056618","Men's Weatherblock Shell Jacket Black",2,2,7,0.40,0.70
"9183226","Android Luggage Tag",0,0,7,0.40,0.70
"GGOEAAAB081016","Android Men's Outerstellar Short Sleeve Tee Black",2,2,8,0.40,0.70
"GGOEGAWQ062953"," Baby Essentials Set",231,346,8,0.40,0.70
"GGOEGAAX0781"," Leather Journal",119,181,8,0.40,0.70
"GGOEGDHR018499"," 22 oz Water Bottle",975,1482,9,0.40,0.70
"GGOEGADC059314"," Men's Airflow 1/4 Zip Pullover Lapis",3,4,9,0.40,0.70
"GGOEGGOA017399","Maze Pen",1748,324,9,0.40,0.70
"GGOEGAAQ010415"," Men's 100% Cotton Short Sleeve Hero Tee White",221,335,9,0.40,0.70
"GGOEGALQ034216"," Women's Vintage Hero Tee White",12,17,9,0.40,0.70
"GGOEGAPJ058016"," Women's 1/4 Zip Jacket Charcoal",3,4,10,0.40,0.70
"GGOEYAEB035616"," Men's Vintage Tank",5,7,10,0.40,0.70
"GGOEGAWC062850"," Infant Zip Hood Royal Blue",21,30,10,0.40,0.70
"9183228"," Cam Indoor Security Camera - USA",0,0,10,0.40,0.70
"9182999"," Bongo Cupholder Bluetooth Speaker",0,0,10,0.40,0.70
"GGOEAAAJ032916","Android Men's Long & Lean Badge Tee Charcoal",28,42,11,0.40,0.70
"GGOEYAQB073216"," Women's Fleece Hoodie Black",9,13,11,0.40,0.70
"GGOEGADB056917"," Men's Performance Full Zip Jacket Black",7,10,11,0.40,0.70
"GGOEGATB060414"," Women's Quilted Insulated Vest Black",2,2,11,0.40,0.70
"9182909"," Collapsible Pet Bowl",0,0,11,0.40,0.70
"GGOEGOAQ012899","Ballpoint LED Light Pen",1415,2098,11,0.40,0.70
"GGOEYAAJ032514"," Men's Short Sleeve Hero Tee Charcoal",28,41,12,0.40,0.70
"9182559","Android Men's Vintage Henley",0,0,12,0.40,0.70
"9181150","Gift Card - $250.00",0,0,12,0.40,0.70
"GGOEGAXC065630"," Toddler Hoodie Royal Blue",18,27,12,0.40,0.70
"GGOEGAXL065955"," Toddler Raglan Shirt Blue Heather/Navy",6,9,12,0.40,0.70
"9184705"," Women's Typography Short Sleeve Tee",0,0,13,0.40,0.70
"GGOEAAXC066455","Android Toddler Short Sleeve T-shirt Aqua",18,26,13,0.40,0.70
"GGOEYAYR068625"," Youth Short Sleeve Tee Red",18,26,13,0.40,0.70
"GGOEGAUC057713"," Women's Performance Golf Polo Blue",3,4,13,0.40,0.70
"GGOEGALP036313"," Women's Long Sleeve Tee Lavender",20,29,14,0.40,0.70
"GGOEAAEJ033413","Android Men's Long Sleeve Badge Crew Tee Heather",29,43,14,0.40,0.70
"GGOEGBRB079599","25L Classic Rucksack",28,40,15,0.40,0.70
"GGOEAOBH078799","Android Luggage Tag",22,32,15,0.40,0.70
"GGOEGAXC065228"," Toddler Short Sleeve T-shirt Royal Blue",14,20,15,0.40,0.70
"9180840","Satin Black Ballpoint Pen",0,0,16,0.40,0.70
"GGOEGAAX0625","Android Infant Short Sleeve Tee Pewter",16,23,16,0.40,0.70
"GGOEGAXJ065730"," Toddler 1/4 Zip Fleece Pewter",2,3,16,0.40,0.70
"GGOEGAER029717"," Women's Short Sleeve Hero Tee Red Heather",5,7,16,0.40,0.70
"GGOEYAEJ029615"," Women's Short Sleeve Tri-blend Badge Tee Grey",1,1,16,0.40,0.70
"GGOEYAYR068656"," Youth Short Sleeve Tee Red",10,15,17,0.40,0.70
"GGOEGHPJ080010"," French Terry Cap",0,0,17,0.40,0.70
"GGOEGAEC029115"," Women's Short Sleeve Hero Tee Sky Blue",11,16,18,0.40,0.70
"GGOEAAEJ030915","Android Women's Long Sleeve Blended Cardigan Grey",6,8,18,0.40,0.70
"9182995"," Car Clip Phone Holder",0,0,18,0.40,0.70
"GGOEYAYR068624"," Youth Short Sleeve Tee Red",26,38,18,0.40,0.70
"GGOEGALJ036414"," Women's Tee Grey",16,23,19,0.40,0.70
"9182752"," Men's Short Sleeve Performance Badge Tee Charcoal",0,0,19,0.40,0.70
"GGOEGAYQ068924"," Youth Girl Hoodie",4,5,19,0.40,0.70
"GGOEGCBN016899"," Pet Feeding Mat",48,69,7,0.80,0.70
"GGOEGAAX0593"," Men's Airflow 1/4 Zip Pullover Lapis",16,23,8,0.00,1.40
"GGOEGAAX0291"," Women's Short Sleeve Hero Tee Sky Blue",27,44,9,0.50,1.40
"GGOEGAAX0304"," Women's 3/4 Sleeve Baseball Raglan Heather/Black",19,26,9,0.50,1.40
"GGOEGAAX0570"," Men's Short Sleeve Performance Badge Tee Charcoal",31,57,14,0.50,1.40
"GGOEGAAX0313"," Tri-blend Hoodie Grey",59,101,15,0.50,1.40
"GGOEGAAX0349","Android BTTF Moonshot Graphic Tee",0,0,15,0.50,1.40
"GGOEGAAX0290"," Women's Short Sleeve Hero Tee Charcoal",45,54,16,0.50,1.40
"GGOEGAAX0323"," Men's Short Sleeve Hero Tee Charcoal",11,20,19,0.50,1.40
"GGOEGAAX0582"," Women's Lightweight Microfleece Jacket",3,3,19,0.50,1.40
"GGOEGAAX0577"," Women's Performance Golf Polo Blue",0,0,19,0.50,1.40
"GGOEGAAX0351"," Men's Vintage Henley",79,133,9,-0.50,1.40
"GGOEGEHQ024099","Clip-on Compact Charger",745,1468,11,-0.30,1.40
"GGOEGAAX0590"," Men's Short Sleeve Performance Badge Tee Navy",15,21,9,0.10,1.40
"GGOEGESC014099","Rocket Flashlight",123,242,11,0.20,1.40
"GGOEGOAR013099"," Stylus Pen w/ LED Light",1100,2164,39,0.90,1.40
"GGOEGOAB021499","Metal Texture Roller Pen",390,775,3,0.90,1.40
"GGOEGADJ056816"," Men's Watershed Full Zip Hoodie Grey",13,25,5,0.90,1.40
"GGOEWFKA083299"," Mood Ninja Window Decal",48,94,6,0.90,1.40
"GGOEGAQB036016"," Women's Fleece Hoodie",6,11,6,0.90,1.40
"GGOEYAWJ061448"," Onesie Heather",19,37,7,0.90,1.40
"9182383"," Men's Watershed Full Zip Hoodie Grey",0,0,7,0.90,1.40
"GGOEGAXR065128"," Toddler Short Sleeve Tee Red",14,27,8,0.90,1.40
"GGOEGALJ036417"," Women's Tee Grey",7,13,8,0.90,1.40
"GGOEGAAX0350"," Men's Bayside Graphic Tee",17,33,8,0.90,1.40
"GGOEGAAX0627"," Infant Zip Hood Pink",18,35,8,0.90,1.40
"GGOEGALJ034416"," Women's Vintage Hero Tee Platinum",7,13,9,0.90,1.40
"GGOEGAPB057816","Women's Performance Full Zip Jacket Black",6,11,10,0.90,1.40
"GGOEGAAJ073414"," Men's Short Sleeve Hero Tee Heather",15,29,11,0.90,1.40
"GGOEGAAX0619"," Infant Short Sleeve Tee Royal Blue",17,33,11,0.90,1.40
"9182587","Android Women's Fleece Hoodie",0,0,12,0.90,1.40
"9183000"," Pocket Bluetooth Speaker",0,0,12,0.90,1.40
"GGOEGAAX0346"," Men's Vintage Tee",0,0,12,0.90,1.40
"GGOEGADJ059713"," Men's Quilted Insulated Vest Battleship Grey",14,27,12,0.90,1.40
"GGOEGAEJ030815"," Women's Long Sleeve Blended Cardigan Charcoal",13,25,13,0.90,1.40
"GGOEGAAC032116"," Men's Short Sleeve Hero Tee Light Blue",3,5,13,0.90,1.40
"GGOEGOCR017899","Recycled Paper Journal Set",2524,4975,13,0.90,1.40
"GGOEGAPB057813","Women's Performance Full Zip Jacket Black",17,33,14,0.90,1.40
"GGOEGAYL068125"," Youth Sports Tee Navy",19,37,14,0.90,1.40
"GGOEGALJ034413"," Women's Vintage Hero Tee Platinum",48,94,15,0.90,1.40
"GGOEAAWT061753","Android Onesie Gold",15,29,15,0.90,1.40
"GGOEGAAQ010414"," Men's 100% Cotton Short Sleeve Hero Tee White",94,186,16,0.90,1.40
"GGOEGAEJ031313"," Tri-blend Hoodie Grey",32,62,16,0.90,1.40
"GGOEGAAB058913"," Men's Short Sleeve Performance Badge Tee Black",2,3,17,0.90,1.40
"GGOEGAEJ031314"," Tri-blend Hoodie Grey",23,45,17,0.90,1.40
"GGOEGAYB068024"," Youth Baseball Raglan Heather/Black",11,21,18,0.90,1.40
"9183194"," Executive Umbrella",0,0,18,0.90,1.40
"GGOEGAAQ033914"," Men's Vintage Badge Tee White",121,237,18,0.90,1.40
"GGOEYAAJ032515"," Men's Short Sleeve Hero Tee Charcoal",17,33,18,0.90,1.40
"9180868","Crunch Noise Dog Toy",0,0,19,0.90,1.40
"GGOEWXXX0827"," Women's Short Sleeve Tee",0,0,14,0.70,1.90
"GGOEGAAX0348","Android BTTF Cosmos Graphic Tee",3,4,15,0.70,1.90
"GGOEAXXX0809","Android Lifted Men's Short Sleeve Tee Blue",11,14,17,0.70,1.90
"GGOEGAAX0331"," Men's Long Sleeve Raglan Ocean Blue",8,10,17,0.10,1.90
"GGOEGAAX0598"," Men's Convertible Vest-Jacket Pewter",0,0,17,0.20,1.90
"GGOEGAAX0299"," Women's V-Neck Tee Charcoal",51,77,8,0.80,1.90
"GGOEGAAX0343"," Women's Vintage Hero Tee Lavender",33,65,17,0.80,1.90
"GGOEGAAX0566"," Men's Weatherblock Shell Jacket Black",4,5,17,0.80,1.90
"GGOEYOCR077399"," RFID Journal",935,433,3,0.00,0.10
"GGOEGOLC014299"," Metallic Notebook Set",2718,610,5,0.00,0.10
"GGOEGAAJ057016"," Men's Short Sleeve Performance Badge Tee Charcoal",29,30,5,0.00,0.10
"9180808","Basecamp Explorer Powerbank Flashlight",0,0,5,0.00,0.10
"GGOEGBRJ037399"," Rucksack",212,228,5,0.00,0.10
"GGOEYAAQ031715"," Men's Short Sleeve Hero Tee White",37,39,7,0.00,0.10
"9184676","UpCycled Handlebar Bag",0,0,7,0.00,0.10
"GGOEGAPB058217"," Women's Lightweight Microfleece Jacket",3,3,7,0.00,0.10
"GGOEWFKA083199"," Mood Original Window Decal",63,66,8,0.00,0.10
"GGOEGAYR068225"," Youth Short Sleeve Tee Red",1,1,9,0.00,0.10
"GGOEGADB056615","Men's Weatherblock Shell Jacket Black",12,12,10,0.00,0.10
"GGOEGALJ072913"," Women's Performance Hero Tee Gunmetal",1,1,10,0.00,0.10
